"name","iso","country","entity_type","region","area","area_units","gdp","initiatives_committed","num_commit","lat","lng","population","population_year","state"
"Torchiarolo","ITA","Italy","City","Europe",32.34,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,40.482073,18.053639,5202,NA,"Brindisi"
"Tordera","ESP","Spain","City","Europe",11,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.700746,2.7188291,16318,2018,"Barcelona Province"
"Torelló","ESP","Spain","City","Europe",13.5,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,42.04944444,2.265,13808,2018,"Barcelona Province"
"Torella dei Lombardi","ITA","Italy","City","Europe",26.57,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,40.939723,15.11612,2240,NA,"Avellino"
"Torella del Sannio","ITA","Italy","City","Europe",16.73,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,41.640472,14.518151,808,NA,"Campobasso"
"Toril","ESP","Spain","City","Europe",NA,"",NA,"GlobalCovenantofMayors2019;NAZCA",2,39.897441,-5.779695,189,NA,"Cáceres"
"Torino","ITA","Italy","City","Europe",130.01,"km2",NA,"CDPCities2018;EUCovenantofMayors2019;GlobalCovenantofMayors2019",3,45.1006,7.668,884733,2017,"Piedmont"
"Torino Di Sangro","ITA","Italy","City","Europe",32.12,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,42.18814,14.540819,3139,NA,"Abruzzo"
"Tormos","ESP","Spain","City","Europe",5.3,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,38.8011675,-0.0721516,317,2018,"Tarragona"
"Tornabous","ESP","Spain","City","Europe",24.2,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.7009545,1.0533853,934,2018,"Lleida"
"Tornaco","ITA","Italy","City","Europe",13.24,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.35,8.716666667,882,NA,"Novara"
"Tornareccio","ITA","Italy","City","Europe",27.53,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,42.038136,14.416118,1980,NA,"Chieti Province"
"Tornata","ITA","Italy","City","Europe",10.17,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,45.1,10.43333333,503,NA,"Lombardy"
"Tornimparte","ITA","Italy","City","Europe",65.96,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,42.29638889,13.30083333,3042,NA,"Province of L'Aquila"
"Toro","ITA","Italy","City","Europe",1751.49,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,43.74166667,-79.37333333,1430,2016,"Campobasso"
"Toronto","CAN","Canada","City","North America",1751.49,"km2",NA,"CDPCities2018;GlobalCovenantofMayors2019;C40Cities2019;NAZCA",4,43.6532,-79.3832,2731571,2016,"Ontario"
"Torpè","ITA","Italy","City","Europe",91.5,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,40.627969,9.677337,2943,NA,"Sardinia"
"Torralba","ITA","Italy","City","Europe",36.5,"km2",NA,"EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA",3,40.51666667,8.766666667,1001,NA,"Sardinia"
"Torralba De Ribota","ESP","Spain","City","Europe",32.5,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,41.4185302,-1.6841252,205,2018,"Aragon"
"Torrance, CA","USA","United States of America","City","North America",53.043,"km2",NA,"ClimateMayors",1,33.834722,-118.341389,147195,2010,"California"
"Torrazza Coste","ITA","Italy","City","Europe",16.23,"km2",NA,"GlobalCovenantofMayors2019;NAZCA",2,44.976086,9.086143,1714,NA,"Pavia"
"Torre Alháquime","ESP","Spain","City","Europe",17.36,"km2",NA,"GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA",3,36.9156897,-5.2347671,877,2018,"Cádiz"
"Torre Annunziata","ITA","Italy","City","Europe",1.7,"ha",NA,"GlobalCovenantofMayors2019;NAZCA",2,40.754055,14.450912,43490,NA,"Campania"
