"name","iso","entity_type","country","area","num_commit","lat","lng","population","population_year","state","admin_1","initiatives_committed","region"
"Agadir","MAR","City","Morocco","NaN",2,30.43333333,-9.6,450000,2014,"Agadir-Ida Ou Tanane",NA,"GCoMEuropeanCommission2021;;GCoM2022","Middle East and North Africa"
"Agaete","ESP","City","Spain","45.5",2,28.100259,-15.699674,5558,2018,"Las Palmas","Gran Canaria","EUCovenantofMayors2022;;GCoM2022","Europe"
"Agazzano","ITA","City","Italy","35.9",2,44.95,9.517,2021,2004,"Province of Piacenza","Emilia-Romagna","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agencia de energia MedioTejo21","PRT","City","Portugal","NaN",1,39.60538,-8.40431,219465,NA,"Santarem",NA,"GCoMEuropeanCommission2021","Europe"
"Ageo","JPN","City","Japan",NA,NA,35.97739,139.5932,230000,NA,"Saitama Prefecture",NA,NA,"East Asia and the Pacific"
"Ager","ESP","City","Spain","160.6",2,42.00361,0.7625,611,2018,"Lleida","Noguera","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agerola","ITA","City","Italy","19.83",2,40.637707,14.538839,7500,NA,"Naples",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Aggregazione BERNEZZO","ITA","City","Italy","25.9",1,44.3886068,7.4332093,5631,2017,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Castelletto Stura","ITA","City","Italy","NaN",1,44.4417886,7.638649,9322,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Ceva","ITA","City","Italy","NaN",1,44.386254,8.029079,6678,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione comuni della Valle dell'Agno","ITA","City","Italy",NA,2,45.64539,11.29972,63622,NA,NA,NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022","Europe"
"Aggregazione Diano D'alba","ITA","City","Italy","NaN",1,44.6515358,8.0252513,5643,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Dro-Roc-Vil","ITA","City","Italy","27",1,45.961111,10.911111,4030,NA,"Trento",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Garessio","ITA","City","Italy","NaN",1,44.202931,8.0192528,5155,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Genola","ITA","City","Italy","NaN",1,44.588936,7.66453,2661,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione MARENE","ITA","City","Italy","29",1,44.6615577,7.7270091,5359,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Monta' - Corneliano d'Alba","ITA","City","Italy","10.3",2,44.733,7.95,6776,2004,"Province of Cuneo","Province of Cuneo","GCoMEuropeanCommission2021;;EUCovenantofMayors2022","Europe"
"Aggregazione Niella Belbo","ITA","City","Italy","NaN",1,44.51376,8.08048,7835,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Robilante-Roccavione","ITA","City","Italy","NaN",1,44.2945397,7.509191,5203,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Saliceto","ITA","City","Italy","NaN",1,44.41439,8.16987,5018,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Sommariva del Bosco","ITA","City","Italy","35.6",1,44.768741,7.78533,21367,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Vicoforte","ITA","City","Italy","NaN",1,44.3744419,7.8725517,8567,NA,"Cuneo",NA,"GCoMEuropeanCommission2021","Europe"
"Aggregazione Villanova Mondovi","ITA","City","Italy","28.4",1,44.35,7.767,10206,NA,"Province of Cuneo","Piedmont","GCoMEuropeanCommission2021","Europe"
"Aghios Nikolaos","GRC","City","Greece","511",2,36.8243276,22.2811442,27074,2011,"Crete",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agia","GRC","City","Greece","668",2,39.03333333,26.41666667,14121,NA,"Nomos Larisis",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agia Paraskevi","GRC","City","Greece","7.935",2,39.2475388,26.2711986,59704,2011,"Attica",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agia Varvara","GRC","City","Greece","2.425",2,38,23.65,26490,2011,"Attica","West Athens","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agioi Anargyroi-Kamatero","GRC","City","Greece","9.15",4,38.03333333,23.71666667,55191,2011,"Attica","West Athens","GCoMHarmonized2021;;EUCovenantofMayors2022;;GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agios Athanasios","CYP","City","Cyprus","14",2,34.7093395,33.0504749,15500,2011,"Limassol District","Limassol","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agios Dimitrios","GRC","City","Greece","4.949",3,37.93333333,23.73333333,70000,2011,"Attica","South Athens","GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Agios Ioannis Rentis","GRC","City","Greece",NA,2,37.967,23.667,20000,2011,NA,"Nikaia-Agios Ioannis Rentis","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agira","ITA","City","Italy","164.08",3,37.661603,14.51201,8500,NA,"Enna",NA,"GCoMEuropeanCommission2021;;EUCovenantofMayors2022;;GCoM2022","Europe"
"Aglandjia","CYP","City","Cyprus",NA,2,35.1523806,33.3977301,22000,2011,"Nicosia District","Nicosia","GlobalCovenantofMayors2019;NAZCA","Europe"
"Aglantzia","CYP","City","Cyprus",NA,2,35.10373,33.33252,22000,NA,NA,NA,"GCoMEuropeanCommission2021;;GCoMHarmonized2021","Europe"
"Agna","ITA","City","Italy","18.8",2,45.1702381,11.9603017,3405,NA,"Parma","Padua","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agnone","ITA","City","Italy","96.85",2,41.8095612,14.3770463,5253,NA,"Isernia",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agnosine","ITA","City","Italy","13.55",2,45.65,10.35,1875,NA,"Brescia",NA,"GCoMEuropeanCommission2021;;GCoM2022","Europe"
"AGOLADA","ESP","City","Spain","147.8",2,42.76222,-8.01972,2370,2018,"Pontevedra","Pontevedra","GCoMEuropeanCommission2021;;EUCovenantofMayors2022","Europe"
"Agona East","GHA","City","Ghana",NA,2,5.603215,-0.791323,101522,NA,"Central Region",NA,"GlobalCovenantofMayors2019;NAZCA","Sub-Saharan Africa"
"Agordo","ITA","City","Italy","23.67",2,46.267,12.033,4045,2017,"Belluno","Veneto","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agost","ESP","City","Spain","66.64",2,38.436906,-0.6396686,4752,2018,"Alicante","Campo de Alicante","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agrafa","GRC","City","Greece","920.3",2,39.1359953,21.6494392,14365,2011,"Central Greece","Evrytania","GCoMEuropeanCommission2021;;GCoM2022","Europe"
"Agramunt","ESP","City","Spain","79.6",2,41.7876693,1.0986828,5735,2018,"Lleida","Urgell","GCoMEuropeanCommission2021;;GCoM2022","Europe"
