name,iso,entity_type,country,area,initiatives_committed,num_commit,lat,lng,population,population_year,state,admin_1,region
Nurri,ITA,City,Italy,73.9,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,39.71666667,9.233333333,2250,NA,Sardinia,South Sardinia,Europe
Nuxis,ITA,City,Italy,61.59,GlobalCovenantofMayors2019;NAZCA,2,39.152933,8.738139,1620,NA,South Sardinia,,Europe
"Nyack, NY",USA,City,United States of America,2.071992,ClimateMayors,1,41.0925,-73.9225,6987,NA,New York State,"Rockland County, NY",North America
Nyagatare,RWA,City,Rwanda,1741,Carbonn2019,1,-1.293055556,30.325,466944,NA,Nyagatare District,NA,Sub-Saharan Africa
Nyarugenge District,RWA,City,Rwanda,134,Carbonn2019,1,-1.983333333,30.01666667,284561,NA,Kigali,,Sub-Saharan Africa
Nyékládháza,HUN,City,Hungary,24.53,GlobalCovenantofMayors2019;EUCovenantofMayors2019;NAZCA,3,47.9922271,20.8305698,4978,2006,Borsod-Abaúj-Zemplén,Miskolc,Europe
Nyíregyháza,HUN,City,Hungary,NA,GlobalCovenantofMayors2019;NAZCA,2,47.9557802,21.7167982,118125,2017,NA,,Europe
Nynäshamn,SWE,City,Sweden,6.68,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,58.9,17.95,26032,2010,Södermanland,NA,Europe
Nyon,CHE,City,Switzerland,6.79,GlobalCovenantofMayors2019;NAZCA,2,46.3821531,6.2398898,20675,2016,Vaud,NA,Europe
Nzega,TZA,City,Tanzania,7864,Carbonn2019,1,-4.216944444,33.18638889,502252,2012,Nzega District,NA,Sub-Saharan Africa
O Carballiño,ESP,City,Spain,54,EUCovenantofMayors2019;GlobalCovenantofMayors2019;NAZCA,3,42.43055556,-8.079166667,13999,2018,Ourense,NA,Europe
"Oak Park, IL",USA,City,United States of America,5.697978,ClimateMayors;WeAreStillIn2019;WeAreStillIn2019;Carbonn2019,3,38.30583333,-85.69222222,52261,2000,Illinois,"Cook County, IL",North America
"Oakland, CA",USA,City,United States of America,144.7545,CDPCities2018;GlobalCovenantofMayors2019;ClimateMayors;WeAreStillIn2019;Under2Coalition2019;Carbonn2019;WeAreStillIn2019;NAZCA,7,37.8044,-122.271,420000,2016,California,"Alameda County, CA",North America
