name,iso,entity_type,country,area,num_commit,lat,lng,population,population_year,state,admin_1,initiatives_committed,region
Sant Marti de Tous,ESP,City,Spain,39.2,NA,41.56194,1.52472,1206,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Martí Sarroca,ESP,City,Spain,35.3,3,41.38722222,1.611944444,3142,2018,Catalonia,Alt Penedès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Marti Sesgueioles,ESP,City,Spain,3.9,3,41.7021286,1.4882003,371,2018,Barcelona Province,Anoia,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Martí Vell,ESP,City,Spain,17.5,3,42.0201773,2.9309709,266,2018,Catalonia,Gironès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Miquel de Campmajor,ESP,City,Spain,33.2,3,42.1375,2.68,230,2018,Catalonia,Pla de l'Estany,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Miquel de Fluvià,ESP,City,Spain,3.5,2,42.175804,2.990682,782,2018,Girona,Alt Empordà,EUCovenantofMayors2021;GCoM2021,Europe
Sant Mori,ESP,City,Spain,7.5,3,42.15,2.983333333,168,2018,Catalonia,Alt Empordà,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Pau de Segúries,ESP,City,Spain,8.7,NA,42.26361,2.36667,707,2018,Girona,Girona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Pere de Ribes,ESP,City,Spain,40.8,NA,41.266999999999996,1.767,31923,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Pere de Riudebitlles,ESP,City,Spain,5.4,3,41.4525,1.704722222,2373,2018,Catalonia,Alt Penedès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Pere de Torelló,ESP,City,Spain,55.1,NA,42.077220000000004,2.29639,2419,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Pere de Vilamajor,ESP,City,Spain,34.7,NA,41.685559999999995,2.39,4371,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Pere Pescador,ESP,City,Spain,18.4,2,42.189755,3.09269,2183,2018,Girona,Alt Empordà,EUCovenantofMayors2021;GCoM2021,Europe
Sant Pol de Mar,ESP,City,Spain,7.5,3,41.6030132,2.6238092,5241,2018,Barcelona Province,Maresme,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Quintí de Mediona,ESP,City,Spain,13.8,NA,41.46444,1.665,2179,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Quirze de Besora,ESP,City,Spain,8.1,NA,42.10333,2.22028,2107,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Quirze del Vallès,ESP,City,Spain,14.1,NA,41.53472,2.08222,19549,2014,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Quirze Safaja,ESP,City,Spain,26.2,2,41.730191,2.174499,637,2018,Barcelona Province,Moianès,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Sadurní d'Anoia,ESP,City,Spain,19,NA,41.426109999999994,1.785,12866,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Salvador de Guardiola,ESP,City,Spain,37.2,NA,41.68,1.7663900000000001,3168,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Vicenç de Castellet,ESP,City,Spain,17.1,3,41.66777778,1.863333333,9300,2018,Catalonia,Bages,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Vicenç de Montalt,ESP,City,Spain,8,NA,41.58028,2.50861,6372,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021,Europe
Sant Vicenç de Torelló,ESP,City,Spain,6.6,NA,42.06222,2.27278,2014,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant Vicenc dels Horts,ESP,City,Spain,9.1,NA,41.39528,2.01083,27901,2018,Barcelona,Barcelona,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant' Agostino,ITA,City,Italy,NA,3,43.8801842,11.7716511,7106,NA,Emilia-Romagna,,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant' Antonio di Gallura,ITA,City,Italy,81.2,2,40.991114,9.2919153,1658,2017,Sassari,,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
Sant' Eufemia a Maiella,ITA,City,Italy,40,NA,42.12556,14.026670000000001,312,2007,Pescara,Pescara,EUCovenantofMayors2021;GCoM2021;GCoMHarmonized2021;GCoM2021,Europe
